time crosswalk_L crosswalk_R crosswalk_U crosswalk_B cars_L cars_R
1 0 0 0 0 0 0
2 0 0 0 0 0 0
3 0 0 0 0 0 0
4 0 0 0 0 0 0
5 0 0 0 0 0 0
6 0 0 0 0 0 0
7 0 0 0 0 0 1
8 0 0 0 0 2 2
9 0 0 0 0 3 3
10 0 0 0 0 3 5
11 0 1 0 0 3 8
12 0 0 0 0 4 9
13 0 0 0 0 5 15
14 0 0 0 0 7 15
15 0 0 0 0 8 18
16 0 0 0 0 8 19
17 0 0 0 0 9 19
18 0 1 0 0 10 21
19 0 0 0 0 12 25
20 0 0 1 0 16 26
21 0 0 0 0 16 26
22 0 0 0 0 17 27
23 0 0 0 0 19 28
24 0 0 1 0 19 28
25 0 0 0 0 21 28
26 0 0 0 0 22 28
27 0 0 0 0 22 28
28 0 0 0 0 25 28
29 0 0 1 0 26 28
30 0 0 1 0 26 28
31 0 0 0 0 26 28
32 0 0 1 0 27 28
33 0 1 2 0 26 28
34 0 0 3 0 20 28
35 0 1 3 0 14 28
36 0 1 3 0 8 28
37 0 1 3 0 2 25
38 0 1 4 0 1 19
39 1 2 6 0 1 13
40 1 3 6 0 0 7
41 1 4 6 0 0 1
42 1 4 6 0 1 0
43 1 4 7 0 0 0
44 2 4 10 0 0 0
45 2 4 11 0 0 0
46 2 4 11 0 0 0
47 2 5 12 0 0 0
48 3 6 12 0 0 0
49 3 7 14 0 2 0
50 4 8 15 0 0 1
51 4 8 17 0 0 0
52 4 8 18 0 0 0
53 5 9 20 0 1 0
54 5 10 20 0 0 1
55 6 10 21 1 0 0
56 6 10 22 1 0 0
57 7 11 24 1 0 0
58 7 11 25 1 0 0
59 7 12 25 1 0 0
60 8 13 25 1 1 0
61 9 13 25 1 0 0
62 7 11 23 0 0 0
63 5 10 21 0 1 1
64 3 10 19 0 3 3
65 1 8 17 0 3 6
66 0 6 16 0 3 6
67 0 6 16 0 7 7
68 0 5 15 0 8 7
69 0 3 15 0 9 7
70 0 2 13 0 11 8
71 0 2 11 0 11 9
72 0 1 10 0 12 11
73 0 1 9 0 12 11
74 1 0 8 0 12 13
75 0 0 7 0 14 14
76 0 0 5 0 15 18
77 0 0 3 0 15 19
78 0 0 3 0 15 20
79 0 0 1 0 16 20
80 0 0 1 0 19 23
81 1 0 0 0 19 23
82 0 0 0 0 20 24
83 0 0 0 0 20 26
84 0 0 0 0 20 28
85 0 0 0 0 20 28
86 0 0 0 0 20 28
87 0 0 0 0 22 28
88 0 0 0 0 24 28
89 0 0 0 0 26 28
90 0 0 0 0 28 28
91 0 0 0 0 28 28
92 0 0 0 0 30 28
93 0 0 0 0 24 28
94 0 0 0 0 18 28
95 0 1 0 0 12 26
96 0 1 0 0 6 20
97 0 1 1 0 0 14
98 0 1 2 0 0 8
99 0 2 2 0 0 2
100 0 3 4 0 0 0
101 1 3 6 0 1 0
102 4 3 6 0 2 0
103 5 4 6 0 0 0
104 5 4 7 0 1 0
105 6 4 7 0 0 0
106 7 5 8 0 0 0
107 8 5 9 1 0 0
108 8 5 11 1 0 0
109 9 5 12 1 2 0
110 9 5 13 1 1 0
111 10 5 13 1 0 1
112 10 5 14 1 2 2
113 10 6 14 1 0 0
114 10 6 16 1 0 0
115 10 6 17 1 0 0
116 10 7 18 1 0 1
117 10 8 18 1 0 0
118 11 9 19 1 1 0
119 11 9 19 2 0 0
120 11 10 21 2 0 0
121 11 10 22 2 0 0
122 9 9 20 1 0 0
123 9 7 18 0 1 3
124 8 5 18 0 3 6
125 8 4 20 0 5 9
126 7 5 19 0 8 10
127 5 3 17 0 8 10
128 3 1 15 0 10 11
129 1 1 14 0 14 12
130 0 1 15 0 15 12
131 0 0 13 0 15 13
132 0 0 12 0 15 13
133 0 0 10 0 16 14
134 0 0 10 0 18 18
135 0 0 9 0 18 19
136 0 0 8 0 20 20
137 0 0 7 0 20 22
138 0 0 6 0 21 23
139 0 0 6 0 21 23
140 0 0 5 0 22 25
141 0 0 5 0 24 25
142 0 0 4 0 24 25
143 0 0 3 0 25 26
144 0 1 3 0 25 26
145 0 0 2 0 26 28
146 0 0 1 0 26 28
147 0 0 0 0 27 28
148 0 0 0 0 27 28
149 0 0 0 0 27 28
150 0 0 0 0 28 28
151 0 0 0 0 32 28
152 0 0 0 0 34 28
153 0 0 0 0 35 27
154 0 0 0 0 33 21
155 0 0 0 0 27 15
156 0 0 1 0 21 9
157 0 0 2 0 15 3
158 0 0 4 1 9 1
159 0 0 5 1 3 0
160 0 1 6 1 0 0
161 0 1 6 1 3 0
162 1 1 7 1 0 0
163 1 1 8 2 0 0
164 2 2 9 3 0 0
165 2 3 9 3 0 0
166 2 3 10 3 0 0
167 3 3 10 3 0 0
168 4 4 11 3 0 1
169 4 6 12 3 0 0
170 4 7 12 3 0 0
171 5 8 13 3 0 0
172 5 8 14 3 0 0
173 6 9 16 3 0 0
174 7 9 16 3 0 0
