time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,1,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,3
8,0,0,0,0,1,4
9,0,1,0,0,3,5
10,0,1,0,0,8,5
11,0,0,0,0,10,6
12,0,0,0,0,14,7
13,0,0,0,0,15,7
14,0,0,0,0,16,8
15,0,0,0,0,17,11
16,1,0,0,0,18,12
17,1,0,0,0,18,13
18,0,1,0,0,19,14
19,0,1,0,0,22,15
20,0,2,0,0,26,15
21,0,1,0,0,26,19
22,0,1,0,0,28,21
23,0,1,0,0,32,21
24,0,1,0,0,34,24
25,1,2,0,0,34,25
26,1,3,0,0,34,27
27,0,3,0,0,35,28
28,0,2,0,0,35,28
29,0,1,0,0,35,28
30,0,0,0,0,35,28
31,0,0,0,0,35,28
32,0,0,1,0,35,28
33,1,1,2,0,33,28
34,1,2,2,0,27,28
35,3,2,2,0,21,28
36,4,3,2,0,15,23
37,5,3,2,0,9,17
38,6,4,2,0,3,11
39,6,4,3,1,1,5
40,8,6,3,2,2,0
41,9,6,5,2,0,0
42,9,8,7,3,0,0
43,9,9,8,5,0,0
44,11,10,9,5,0,0
45,12,11,9,7,0,1
46,12,11,9,8,0,0
47,12,12,12,9,1,0
48,12,13,12,11,3,0
49,13,13,13,13,0,0
50,13,14,13,14,0,0
51,13,14,14,14,1,0
52,14,15,15,15,0,0
53,17,15,16,17,0,0
54,18,17,17,17,0,0
55,18,19,18,17,1,0
56,18,20,18,19,0,0
57,19,22,19,20,0,0
58,20,22,19,20,0,0
59,20,23,20,20,0,0
60,21,23,21,20,0,0
61,22,24,21,21,0,0
62,20,22,20,19,0,0
63,18,21,18,17,0,1
64,16,20,17,16,2,8
65,15,21,15,14,2,13
66,13,19,13,13,3,17
67,12,19,13,11,3,18
68,10,17,12,10,4,18
69,8,16,11,8,7,20
70,7,15,11,6,8,21
71,5,13,12,5,10,23
72,4,12,11,4,13,24
73,3,12,9,3,13,24
74,2,11,8,3,15,27
75,1,9,7,3,16,27
76,0,8,8,2,20,27
77,0,7,7,1,21,27
78,0,6,7,1,22,27
79,0,5,8,0,24,27
80,0,5,7,0,26,28
81,0,5,7,0,27,28
82,0,4,6,0,27,28
83,0,3,8,0,27,28
84,0,3,8,0,32,28
85,0,2,6,0,35,28
86,0,1,4,0,35,28
87,0,0,3,0,35,28
88,0,0,3,0,35,28
89,0,0,4,0,35,28
90,0,0,3,0,35,28
91,0,0,2,0,35,28
92,0,0,3,0,35,28
93,0,0,3,0,35,28
94,0,0,4,0,35,28
95,0,1,5,1,35,28
96,1,2,6,1,35,27
97,1,4,7,3,35,21
98,2,4,7,4,35,15
99,3,5,7,5,33,9
100,3,5,8,6,27,3
101,4,6,8,7,21,0
102,4,7,10,7,15,0
103,5,8,12,8,9,0
104,5,10,15,9,3,2
105,5,10,16,9,1,0
106,5,10,18,10,0,0
107,6,11,19,10,0,0
108,8,11,19,10,0,0
109,9,12,20,11,0,0
110,9,13,21,11,1,0
111,9,13,21,14,0,0
112,10,13,22,14,0,0
113,10,13,22,14,0,0
114,10,13,22,14,1,0
115,11,14,22,15,0,0
116,11,16,22,15,0,0
117,11,17,22,16,0,0
118,12,17,23,16,0,0
119,12,18,24,16,1,0
120,13,18,24,16,0,1
121,14,20,24,17,0,0
122,13,19,24,15,0,0
123,13,19,22,14,1,2
124,11,18,22,12,1,3
125,10,16,22,11,2,4
126,9,14,22,10,3,5
127,8,13,20,10,3,6
128,6,11,20,8,5,6
129,5,9,20,8,6,7
130,3,8,20,6,7,9
131,2,6,18,4,8,12
132,1,6,16,4,9,13
133,0,7,15,2,10,15
134,1,6,14,1,11,17
135,1,6,13,0,11,20
136,0,5,12,0,12,20
137,0,4,11,0,12,20
138,0,3,12,0,13,26
139,0,2,11,0,13,26
140,0,3,12,0,15,28
141,0,4,13,0,16,28
142,0,4,12,0,16,28
143,0,2,11,0,18,28
144,0,1,11,0,20,28
145,0,0,11,0,22,28
146,0,0,10,0,22,28
147,0,0,9,0,22,28
148,0,0,9,0,27,28
149,1,0,9,1,33,28
150,0,0,9,0,34,28
151,0,0,9,0,35,28
152,0,0,9,0,35,28
153,1,0,10,1,35,28
154,1,0,10,1,35,28
155,2,0,10,2,35,27
156,2,0,11,2,35,21
157,2,0,12,3,35,15
158,2,0,12,3,32,9
159,3,1,13,3,26,3
160,3,1,15,3,20,0
161,4,2,16,3,14,0
162,5,4,16,3,8,0
163,5,5,16,4,4,0
164,5,6,17,4,6,0
165,6,7,19,4,8,0
166,6,8,19,5,4,0
167,6,9,21,5,0,0
168,7,9,22,5,1,0
169,7,11,25,5,0,0
170,8,12,27,5,0,0
171,9,12,30,5,0,0
172,9,14,31,7,0,0
173,10,16,32,7,2,0
