time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,2,0,0,0,0
5,0,2,1,0,0,0
6,0,4,3,1,0,0
7,0,4,3,1,0,0
8,0,4,5,1,0,0
9,0,4,6,1,0,0
10,0,6,8,1,0,0
11,0,7,8,1,0,0
12,0,7,9,1,0,0
13,0,9,10,2,0,0
14,0,9,10,2,0,0
15,0,11,12,3,0,0
16,0,12,14,3,0,0
17,0,12,16,3,0,0
18,0,13,16,3,0,0
19,1,14,16,3,0,0
20,2,14,18,3,0,0
21,2,15,19,3,0,0
22,1,14,18,2,0,0
23,0,13,16,1,0,0
24,0,11,15,0,0,0
25,0,9,13,0,1,0
26,0,8,11,0,1,0
27,0,6,9,0,2,0
28,0,5,8,0,2,1
29,0,4,7,0,2,2
30,0,3,7,0,2,3
31,0,2,6,0,2,3
32,0,1,6,0,2,3
33,0,0,6,0,2,3
34,0,0,6,0,2,3
35,0,0,6,0,3,3
36,0,0,5,0,3,3
37,0,0,4,0,4,3
38,0,0,4,0,6,3
39,0,0,3,0,7,3
40,0,0,2,0,7,3
41,0,0,1,0,7,3
42,0,0,0,0,9,3
43,0,0,0,0,9,5
44,0,1,0,0,10,5
45,0,0,0,0,10,5
46,0,0,0,0,10,5
47,0,0,0,0,10,6
48,0,0,1,0,12,7
49,0,0,0,0,14,9
50,0,0,0,0,14,9
51,0,0,0,0,14,11
52,0,0,0,0,14,11
53,0,0,0,0,14,11
54,0,0,0,0,16,11
55,0,0,0,0,16,12
56,0,0,0,0,16,12
57,0,0,0,0,18,13
58,0,0,0,0,20,14
59,0,0,0,0,20,15
60,0,0,0,0,21,15
61,0,0,0,0,23,15
62,0,0,0,0,23,15
63,0,0,1,0,22,9
64,0,0,1,0,20,3
65,0,0,1,0,20,0
66,0,0,2,0,14,0
67,0,0,3,0,8,0
68,0,0,3,0,2,0
69,0,0,3,0,0,0
70,0,0,5,0,0,0
71,0,0,5,0,0,0
72,0,0,5,0,0,0
73,0,1,6,0,0,0
74,0,1,6,0,0,0
75,0,1,6,0,0,0
76,0,1,6,0,0,0
77,0,3,8,0,0,0
78,0,5,8,0,1,0
79,1,6,10,0,0,0
80,2,6,10,0,0,0
81,2,7,11,0,0,0
82,1,8,9,0,0,0
83,0,7,7,0,0,0
84,0,7,5,0,0,0
85,0,5,3,0,0,1
86,0,3,2,0,0,1
87,0,1,2,0,0,3
88,0,0,1,0,1,3
89,0,0,0,0,1,3
90,0,0,0,0,1,3
91,0,0,0,0,2,3
92,0,0,0,0,2,4
93,0,0,0,0,2,5
94,0,0,0,0,3,5
95,0,0,0,0,3,5
96,0,0,0,0,3,6
97,0,1,0,0,4,6
98,0,0,0,0,4,6
99,0,0,0,0,4,6
100,0,0,0,0,4,7
101,0,0,0,0,4,7
102,0,0,0,0,4,7
103,0,0,0,0,6,7
104,0,0,0,0,6,7
105,0,0,0,0,6,7
106,0,0,0,0,7,8
107,0,0,0,0,9,9
108,0,0,0,0,9,9
109,0,0,0,0,9,10
110,0,0,1,0,9,10
111,0,0,1,0,10,10
112,0,0,0,0,10,11
113,0,1,0,0,12,12
114,0,0,0,0,13,13
115,0,0,0,0,13,14
116,0,0,0,0,13,14
117,0,0,0,0,14,15
118,1,0,0,0,14,16
119,0,0,0,0,14,17
120,0,0,0,0,14,17
121,0,0,0,0,14,18
122,0,0,0,0,14,19
123,0,0,0,0,8,13
124,0,0,0,0,6,7
125,0,0,1,0,2,1
126,0,0,2,0,0,0
127,0,0,2,0,0,0
128,0,0,3,0,0,0
129,0,1,4,0,0,0
130,0,1,6,0,0,0
131,0,3,7,0,0,0
132,1,4,7,1,0,0
133,2,4,7,1,0,0
134,2,4,8,1,1,0
135,2,4,9,1,0,0
136,2,6,10,1,0,0
137,2,8,12,1,0,0
138,3,8,12,1,0,0
139,3,8,13,1,0,0
140,3,9,14,1,0,0
141,3,9,14,1,0,0
142,1,8,12,0,0,0
143,0,6,11,0,0,1
144,0,4,11,0,0,1
145,0,3,10,0,0,1
146,0,2,9,0,0,2
147,0,1,8,0,1,2
148,0,0,7,0,1,2
149,0,0,7,0,1,2
150,0,0,6,0,1,2
151,0,0,6,0,1,2
152,1,0,6,0,2,3
153,0,0,6,0,2,4
154,0,0,5,0,2,4
155,0,2,4,0,3,4
156,0,2,4,0,3,4
157,0,1,5,0,3,4
158,0,0,4,0,3,4
159,0,0,3,0,3,4
160,0,0,4,0,4,5
161,0,0,4,0,4,5
162,0,0,3,0,4,5
163,0,0,3,0,4,5
164,0,0,3,0,6,7
165,0,0,2,0,7,7
166,0,0,1,0,8,7
167,0,0,1,0,8,7
168,0,0,1,0,9,7
169,0,0,1,0,9,7
170,0,0,0,0,9,7
171,0,0,0,0,9,7
172,0,0,0,0,10,8
173,0,1,0,0,10,9
