time crosswalk_L crosswalk_R crosswalk_U crosswalk_B cars_L cars_R
1 0 0 0 0 0 0
2 0 0 0 0 0 0
3 1 0 0 0 0 0
4 1 0 2 0 0 0
5 2 1 2 0 0 0
6 2 1 2 0 0 0
7 2 3 5 1 0 0
8 3 3 8 2 0 0
9 4 3 11 2 0 0
10 5 5 11 2 0 0
11 7 5 11 2 0 0
12 9 7 12 2 0 0
13 9 7 14 2 0 0
14 10 7 14 3 0 0
15 11 8 15 4 0 0
16 13 9 17 4 0 0
17 13 9 18 5 0 0
18 13 9 20 7 0 0
19 14 10 21 8 0 0
20 15 10 22 9 0 0
21 16 10 22 10 0 0
22 14 10 20 9 0 0
23 12 10 19 7 0 0
24 11 8 18 7 0 0
25 9 7 17 6 1 1
26 8 6 16 5 2 1
27 7 6 16 3 2 1
28 5 5 15 1 2 2
29 4 4 14 0 2 3
30 3 4 13 0 2 3
31 3 4 12 0 2 3
32 3 3 12 0 3 3
33 2 4 11 0 3 3
34 1 3 11 0 5 4
35 1 2 10 0 5 4
36 1 1 9 0 5 5
37 0 1 9 0 5 5
38 0 0 9 0 6 6
39 0 0 8 0 6 6
40 0 0 8 0 6 6
41 0 0 8 0 7 7
42 1 0 8 0 7 7
43 3 0 7 0 7 7
44 3 0 7 1 8 7
45 3 0 7 0 8 7
46 2 0 6 0 8 7
47 1 0 5 0 9 8
48 0 0 4 0 10 8
49 0 0 3 0 11 8
50 0 0 3 0 11 9
51 0 0 2 0 11 9
52 2 0 2 1 12 12
53 2 0 1 1 14 13
54 3 0 0 2 14 13
55 2 0 1 1 14 13
56 1 0 0 0 14 13
57 0 1 1 0 14 13
58 0 0 0 0 14 13
59 0 0 0 0 14 13
60 0 0 0 0 14 13
61 0 0 0 0 15 13
62 0 0 1 0 15 13
63 1 2 2 0 14 12
64 1 2 2 1 14 6
65 1 2 4 1 8 0
66 1 4 4 1 7 0
67 1 7 5 1 3 0
68 2 8 6 1 0 0
69 2 9 8 1 0 0
70 3 9 8 1 0 0
71 5 10 8 1 1 0
72 6 11 9 2 0 0
73 6 12 10 3 0 0
74 6 14 10 4 1 0
75 7 17 12 5 0 0
76 7 18 12 5 0 0
77 8 19 13 6 0 0
78 8 20 14 6 0 0
79 9 21 14 6 0 0
80 9 21 14 7 0 0
81 9 22 15 9 0 0
82 8 22 14 7 0 0
83 8 20 15 5 1 0
84 6 19 14 6 1 0
85 6 17 13 5 1 0
86 5 17 11 3 1 1
87 5 15 11 2 1 1
88 3 15 11 1 1 1
89 2 14 10 0 1 1
90 1 12 11 0 2 1
91 1 12 10 0 2 1
92 0 11 8 0 3 2
93 0 10 6 0 3 2
94 0 8 6 0 3 2
95 0 6 5 0 6 2
96 0 4 5 0 6 2
97 0 3 5 0 8 2
98 0 2 5 0 9 4
99 0 1 6 0 11 4
100 0 0 6 0 12 4
101 0 0 5 1 12 5
102 0 0 5 0 13 6
103 0 0 4 0 13 8
104 0 0 3 0 13 8
105 0 0 2 0 13 9
106 0 0 1 0 14 9
107 0 0 0 0 15 11
108 0 0 1 0 15 11
109 0 0 0 0 15 11
110 0 0 1 0 15 12
111 0 0 0 0 15 12
112 0 1 2 0 16 13
113 0 0 1 0 18 13
114 0 0 1 0 18 13
115 0 0 2 0 19 14
116 0 0 2 0 19 14
117 0 0 2 0 19 14
118 0 1 1 0 19 14
119 0 0 1 0 19 15
120 0 0 1 0 20 15
121 0 0 1 0 20 16
122 0 0 3 0 20 17
123 0 0 4 0 19 14
124 0 0 5 0 20 8
125 0 0 7 0 20 2
126 0 0 7 0 21 0
127 0 0 8 0 15 0
128 0 1 11 0 9 0
129 1 3 11 0 3 0
130 1 3 12 0 0 0
131 1 3 12 1 0 0
132 1 3 12 1 0 0
133 3 3 12 2 0 0
134 3 3 12 2 0 0
135 3 3 12 3 1 0
136 3 3 14 3 0 0
137 3 3 15 3 0 0
138 4 4 17 4 0 0
139 4 4 18 4 0 0
140 5 4 19 4 0 0
141 5 6 20 4 0 0
142 3 5 19 2 0 0
143 1 4 19 1 0 0
144 0 2 20 1 0 2
145 0 1 19 0 0 3
146 0 1 18 0 0 3
147 0 0 18 0 0 4
148 0 0 17 0 1 4
149 0 1 16 0 2 4
150 0 0 15 0 3 6
151 0 0 15 0 3 6
152 0 0 13 0 3 6
153 0 0 11 0 4 7
154 0 0 10 0 7 7
155 0 0 10 0 7 8
156 0 0 9 0 7 8
157 0 0 9 0 7 8
158 0 0 8 0 8 8
159 0 0 7 0 8 8
160 0 0 7 0 8 9
161 0 0 7 0 8 9
162 0 0 6 0 8 9
163 0 0 5 0 8 9
164 0 0 5 0 9 9
165 0 0 5 0 9 9
166 0 0 4 0 10 9
167 0 1 4 0 10 9
168 0 1 3 0 11 10
169 0 1 2 0 11 10
170 0 1 1 0 12 10
171 0 0 0 0 12 10
172 0 0 0 0 12 10
173 0 1 0 0 13 10
174 0 0 0 0 14 10
