time crosswalk_L crosswalk_R crosswalk_U crosswalk_B cars_L cars_R
1 0 0 0 0 0 0
2 0 0 0 0 0 0
3 0 0 0 0 0 0
4 0 1 0 0 0 0
5 2 0 0 0 0 0
6 3 0 0 0 0 0
7 3 1 0 0 0 0
8 3 1 1 0 0 0
9 3 1 2 0 0 0
10 3 1 2 0 0 0
11 3 1 3 0 0 0
12 3 1 3 0 1 0
13 3 1 4 0 0 0
14 4 1 4 0 0 0
15 4 1 4 0 0 0
16 5 1 5 0 0 0
17 5 1 6 0 0 0
18 5 1 7 0 2 0
19 6 1 8 0 0 0
20 6 1 8 0 0 0
21 6 1 8 0 0 0
22 5 0 7 0 0 1
23 4 0 5 0 3 1
24 2 0 5 0 7 3
25 2 0 4 0 8 3
26 1 0 3 0 8 6
27 0 0 3 0 8 9
28 0 0 3 0 8 10
29 0 0 2 0 8 12
30 0 0 1 0 9 15
31 0 0 0 0 10 18
32 0 0 0 0 10 20
33 0 0 0 0 10 24
34 0 0 0 0 13 27
35 0 0 0 0 15 28
36 0 0 0 0 18 28
37 0 0 0 0 22 28
38 0 0 0 0 24 28
39 0 0 0 0 24 28
40 0 0 0 0 25 28
41 0 0 0 0 27 28
42 0 0 0 0 27 28
43 0 0 0 0 28 28
44 0 0 0 0 28 28
45 0 0 0 0 32 28
46 1 0 0 0 34 28
47 0 0 0 0 35 28
48 0 0 0 0 35 28
49 0 0 0 0 35 28
50 0 0 0 0 35 28
51 0 0 0 0 35 28
52 0 0 0 0 35 28
53 0 0 0 0 35 28
54 0 0 0 0 35 28
55 0 0 0 0 35 28
56 0 0 0 0 35 28
57 0 0 0 0 35 28
58 0 0 0 0 35 28
59 0 0 1 0 35 28
60 0 0 0 0 35 28
61 0 0 0 0 35 28
62 0 0 0 0 35 28
63 1 0 0 0 35 28
64 1 2 1 0 35 28
65 1 3 2 0 31 28
66 1 4 3 0 25 28
67 2 5 3 1 19 28
68 2 6 4 1 13 28
69 2 6 5 1 7 26
70 2 7 5 1 1 20
71 2 8 7 1 0 14
72 2 9 9 1 1 8
73 3 10 9 1 2 2
74 3 10 11 1 0 0
75 3 10 12 1 0 0
76 4 10 13 2 0 0
77 4 12 13 2 1 0
78 4 12 14 2 2 0
79 4 13 15 2 1 1
80 5 13 15 2 0 0
81 6 13 17 2 0 0
82 4 11 15 1 0 0
83 3 9 14 0 0 0
84 3 8 13 0 1 2
85 1 6 11 0 2 6
86 0 4 9 0 2 6
87 0 4 8 0 3 9
88 0 4 8 0 3 9
89 0 3 7 0 6 12
90 0 2 6 0 6 13
91 0 1 5 0 9 13
92 0 0 4 0 10 14
93 0 0 3 0 13 15
94 0 0 3 0 13 16
95 0 0 3 0 13 18
96 0 1 3 0 15 21
97 0 1 3 0 18 24
98 0 0 3 0 19 24
99 0 0 2 0 19 27
100 0 0 1 0 19 28
101 0 0 1 0 20 28
102 0 0 0 0 20 28
103 0 0 0 0 21 28
104 0 0 0 0 21 28
105 0 0 0 0 23 28
106 0 0 0 0 25 28
107 0 0 0 0 26 28
108 0 0 1 0 27 28
109 0 0 1 0 29 28
110 0 0 1 0 31 28
111 0 0 0 0 32 28
112 0 0 0 0 33 28
113 0 0 0 0 33 28
114 0 0 0 0 33 28
115 0 0 0 0 35 28
116 0 0 0 0 35 28
117 0 0 0 0 35 28
118 0 0 0 0 35 28
119 0 0 0 0 35 28
120 0 0 0 0 35 28
121 0 0 0 0 35 28
122 0 0 0 0 35 28
123 0 0 0 0 35 28
124 0 1 0 0 31 28
125 0 2 0 1 25 28
126 0 3 1 1 19 28
127 0 2 1 2 13 28
128 1 3 1 2 7 28
129 1 3 3 2 1 28
130 1 3 4 2 0 28
131 1 4 5 3 0 28
132 1 4 5 3 0 28
133 1 4 7 3 3 28
134 1 5 7 3 0 24
135 1 6 7 3 0 18
136 2 6 7 3 0 12
137 2 7 7 4 0 6
138 3 8 7 5 0 0
139 4 8 8 5 0 0
140 4 8 10 5 0 0
141 4 8 12 5 0 0
142 2 9 10 3 0 1
143 1 7 9 2 0 2
144 0 5 8 1 1 5
145 0 4 8 0 1 7
146 0 3 7 0 2 7
147 0 1 6 0 2 7
148 0 1 5 0 2 7
149 0 0 4 0 4 7
150 0 0 4 0 6 8
151 0 0 3 0 6 9
152 0 0 2 0 6 9
153 0 0 1 0 6 12
154 0 0 1 0 7 13
155 0 0 0 0 9 13
156 0 0 0 0 10 14
157 0 0 0 0 13 17
158 0 0 0 0 15 19
159 0 0 0 0 17 21
160 0 0 0 0 17 25
161 0 1 0 0 19 27
162 0 0 0 0 20 28
163 0 0 0 0 21 28
164 0 0 0 0 22 28
165 0 0 0 0 23 28
166 0 0 0 0 24 28
167 0 0 0 0 25 28
168 0 0 0 0 28 28
169 0 0 0 0 31 28
170 0 0 0 0 32 28
171 0 0 0 0 33 28
172 0 0 0 0 35 28
173 0 0 0 0 35 28
174 0 0 0 0 35 28
