time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,1,0,0,0,0
4,0,1,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,1,0,0,0
8,0,1,1,0,0,0
9,1,1,2,0,0,1
10,1,1,3,0,1,1
11,2,2,3,0,0,0
12,3,2,5,0,0,0
13,3,3,5,0,0,0
14,4,3,5,0,1,0
15,5,4,5,0,0,0
16,5,4,5,0,0,0
17,5,5,6,0,0,0
18,5,5,7,0,0,0
19,6,5,7,0,0,0
20,6,5,7,0,0,0
21,6,7,7,0,1,2
22,6,8,8,0,0,1
23,6,9,8,0,1,0
24,6,11,9,0,0,0
25,6,11,10,0,0,0
26,8,12,11,0,0,0
27,8,13,13,0,0,0
28,9,14,14,0,0,0
29,9,14,14,0,0,0
30,9,16,14,0,0,0
31,10,16,15,1,0,0
32,11,17,15,1,0,0
33,11,18,15,1,0,0
34,11,19,15,1,0,0
35,11,20,16,1,0,0
36,11,21,17,1,0,0
37,11,22,17,1,1,0
38,12,22,17,1,0,0
39,12,24,18,1,0,0
40,12,24,18,1,0,0
41,13,25,20,1,0,0
42,11,23,18,0,0,0
43,9,22,16,0,3,2
44,7,20,15,0,5,3
45,5,18,14,0,6,3
46,3,18,12,0,6,3
47,1,16,11,0,6,3
48,0,14,10,0,6,6
49,0,12,9,0,7,9
50,0,10,7,0,8,11
51,0,8,6,0,9,12
52,0,6,7,0,9,13
53,0,5,6,0,10,15
54,0,4,6,0,10,19
55,0,3,5,0,12,20
56,0,2,3,0,12,21
57,0,1,3,0,12,24
58,0,1,2,0,12,25
59,0,0,1,0,13,26
60,0,0,0,0,13,26
61,0,0,0,0,13,26
62,0,0,1,0,15,27
63,0,0,2,0,15,21
64,0,1,3,0,15,15
65,0,1,4,0,15,9
66,1,1,3,0,16,3
67,1,2,3,1,10,0
68,1,4,4,1,4,0
69,1,4,4,1,0,0
70,1,5,5,2,0,0
71,2,5,5,2,0,0
72,2,6,7,2,0,0
73,2,6,8,2,0,0
74,2,8,9,2,0,0
75,3,8,9,2,0,0
76,4,9,9,2,0,0
77,4,9,11,2,0,0
78,4,9,12,2,0,0
79,6,9,12,2,0,0
80,8,9,13,3,0,0
81,8,11,13,3,0,0
82,8,11,14,3,0,0
83,9,12,15,3,0,0
84,9,12,16,3,0,0
85,9,14,16,3,0,0
86,9,14,17,3,1,0
87,10,15,19,3,0,0
88,10,15,19,3,0,0
89,10,15,19,4,0,0
90,11,15,19,4,0,1
91,11,15,19,4,0,0
92,11,15,20,4,0,0
93,11,16,21,4,1,0
94,11,16,23,4,0,0
95,11,17,24,5,0,0
96,11,17,26,5,0,0
97,11,19,26,6,1,0
98,11,20,28,6,1,0
99,12,21,28,6,0,0
100,12,21,29,6,0,0
101,13,22,29,6,0,0
102,11,21,28,5,0,0
103,10,19,26,3,1,1
104,10,19,24,2,3,2
105,9,17,22,1,3,2
106,9,16,21,0,3,2
107,8,14,19,0,3,3
108,7,12,17,0,3,3
109,6,13,16,0,5,4
110,6,12,14,0,5,4
111,5,10,14,0,5,5
112,4,8,13,0,6,7
113,4,7,12,0,8,8
114,3,7,11,0,8,13
115,2,7,10,0,10,15
116,2,7,9,0,10,15
117,2,6,9,0,13,19
118,2,6,9,0,13,21
119,2,4,8,0,14,22
120,2,3,7,0,16,23
121,2,3,6,0,16,25
122,2,3,6,0,18,25
123,2,4,7,0,20,19
124,2,5,9,0,21,13
125,2,5,9,0,22,7
126,3,5,10,0,25,1
127,4,6,10,0,19,0
128,6,7,10,0,13,0
129,6,8,11,0,7,0
130,6,9,11,0,1,0
131,7,10,12,0,1,0
132,7,10,12,0,1,0
133,7,10,12,0,0,0
134,7,10,13,0,1,0
135,8,11,13,0,1,2
136,8,11,13,0,0,0
137,8,12,13,0,1,0
138,8,12,13,0,0,0
139,8,14,14,0,0,0
140,9,14,14,0,0,0
141,10,14,14,0,0,0
142,11,14,14,0,0,0
143,11,15,15,0,1,0
144,12,16,16,0,1,0
145,13,16,16,0,1,0
146,13,18,17,1,0,0
147,15,18,17,1,1,0
148,15,20,17,1,0,0
149,15,20,17,2,0,0
150,16,22,18,2,0,0
151,17,25,19,2,0,0
152,17,27,20,2,0,0
153,18,27,20,2,0,0
154,18,29,21,2,0,0
155,18,30,21,2,0,0
156,20,30,23,2,0,0
157,20,30,23,2,1,0
158,20,31,23,2,0,0
159,21,32,24,2,0,0
160,21,32,24,3,0,0
161,23,33,26,3,0,0
162,21,31,24,1,0,0
163,19,31,23,0,0,0
164,17,29,24,0,0,2
165,15,27,22,0,0,4
166,14,25,22,0,0,7
167,12,23,20,0,3,9
168,10,21,19,0,6,13
169,9,19,17,0,7,14
170,7,17,16,0,9,18
171,6,15,15,0,9,18
172,4,13,14,0,10,21
173,3,13,14,0,13,21
