time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,1,2,0,0,0
6,0,2,2,1,0,0
7,0,2,2,1,0,0
8,0,3,3,1,0,0
9,0,3,4,1,0,0
10,0,5,5,1,1,0
11,1,6,6,1,0,0
12,1,7,8,1,0,0
13,1,9,8,2,0,0
14,1,10,9,3,0,0
15,3,10,9,4,0,0
16,3,10,11,5,0,0
17,4,12,13,5,0,0
18,5,12,15,6,0,0
19,6,13,17,6,0,0
20,7,14,18,6,0,0
21,7,14,20,7,0,0
22,7,14,21,8,0,0
23,7,15,21,8,0,0
24,9,16,21,8,1,0
25,10,16,22,9,0,0
26,10,17,23,9,0,0
27,11,18,24,9,0,0
28,11,20,25,9,0,0
29,11,22,25,10,0,0
30,12,24,26,11,0,0
31,13,24,27,12,0,0
32,14,24,28,13,0,0
33,14,25,30,14,0,0
34,14,26,30,15,0,0
35,15,28,31,15,0,0
36,15,29,32,15,1,0
37,15,31,35,16,0,0
38,15,31,37,16,0,0
39,15,32,37,16,0,0
40,16,32,38,16,0,0
41,17,35,38,16,0,0
42,16,33,36,14,0,0
43,15,31,34,14,0,0
44,14,29,33,12,0,1
45,12,29,33,11,0,1
46,11,27,31,9,1,1
47,10,26,29,7,1,1
48,9,24,28,5,2,1
49,8,22,27,5,2,1
50,7,23,26,5,2,2
51,6,21,24,4,3,2
52,5,19,23,4,4,2
53,4,17,22,3,4,2
54,3,17,20,2,6,2
55,2,17,19,2,6,3
56,1,15,19,2,6,3
57,1,14,18,1,6,3
58,1,14,16,0,6,4
59,0,13,15,0,7,4
60,0,12,14,0,7,4
61,0,11,14,0,7,5
62,0,11,15,0,8,6
63,0,12,15,1,7,5
64,0,12,16,0,7,5
65,0,12,18,1,8,7
66,0,12,18,1,8,5
67,0,12,20,1,2,0
68,1,12,20,1,0,0
69,1,14,22,1,0,0
70,1,15,23,1,0,0
71,1,15,23,1,0,0
72,1,16,23,1,0,0
73,2,17,24,1,0,0
74,2,17,25,1,0,0
75,2,19,27,1,0,0
76,4,19,29,4,0,0
77,4,22,29,4,0,0
78,5,22,29,5,0,0
79,6,22,32,5,0,0
80,6,22,33,6,0,0
81,8,22,34,7,0,0
82,9,22,36,8,0,0
83,10,24,36,8,0,0
84,13,25,36,10,0,0
85,14,27,39,10,0,0
86,15,28,39,10,0,0
87,15,28,40,11,0,0
88,15,30,43,12,0,0
89,16,32,45,14,0,0
90,16,32,48,16,0,0
91,18,34,49,16,0,0
92,18,35,49,16,0,0
93,19,36,50,16,0,0
94,20,37,52,17,0,0
95,21,37,52,17,0,0
96,22,38,52,17,1,0
97,22,40,54,18,0,0
98,23,43,55,18,0,0
99,23,44,56,18,0,0
100,24,44,56,18,0,0
101,24,45,57,19,0,0
102,22,43,57,18,0,0
103,20,42,57,16,1,0
104,21,40,55,14,2,0
105,21,39,56,13,3,1
106,21,38,57,11,3,1
107,20,36,55,9,4,2
108,20,35,55,7,4,2
109,19,34,54,6,4,2
110,18,32,52,4,4,2
111,17,32,52,2,4,3
112,18,30,50,0,6,3
113,17,29,50,1,7,5
114,16,28,48,0,7,5
115,16,26,49,0,7,5
116,17,26,47,0,8,6
117,17,25,46,0,9,6
118,18,23,44,0,10,8
119,17,23,42,0,12,8
120,17,21,41,0,12,8
121,17,20,40,0,12,9
122,17,22,40,0,12,9
123,18,24,40,0,12,3
124,18,25,41,0,12,0
125,19,25,43,0,12,0
126,19,25,44,0,12,0
127,20,25,45,0,6,0
128,20,25,46,0,0,0
129,22,25,46,0,0,0
130,22,26,46,0,0,0
131,23,29,48,0,0,0
132,23,29,49,0,0,0
133,25,30,49,0,0,0
134,26,30,50,0,0,0
135,26,30,51,0,0,0
136,27,30,52,0,0,0
137,29,30,53,0,0,0
138,30,30,54,0,0,0
139,30,32,55,0,0,0
140,30,32,57,0,0,0
141,31,34,59,0,0,0
142,34,37,60,1,0,0
143,35,41,61,2,0,0
144,35,41,62,2,0,0
145,35,43,63,5,0,0
146,37,43,64,6,0,0
147,37,44,66,7,0,0
148,39,45,67,9,0,0
149,39,45,68,9,0,0
150,40,45,69,10,1,0
151,42,45,70,10,0,0
152,43,45,73,11,0,0
153,43,45,74,12,0,0
154,43,46,75,12,0,0
155,43,49,76,14,0,0
156,44,49,77,14,0,0
157,44,50,78,14,0,0
158,45,50,78,14,0,0
159,45,50,79,14,0,0
160,47,50,79,16,0,0
161,47,51,80,18,0,0
162,46,50,80,16,0,0
163,44,48,80,14,1,0
164,42,47,80,13,2,0
165,41,45,78,11,4,0
166,39,44,77,9,4,0
167,37,43,77,7,6,1
168,36,42,75,5,6,2
169,34,40,75,3,6,2
170,32,38,74,2,7,2
171,30,38,72,1,7,2
172,29,36,70,0,7,2
173,27,34,70,0,8,2
