time crosswalk_L crosswalk_R crosswalk_U crosswalk_B cars_L cars_R
1 0 0 0 0 0 0
2 0 0 0 0 0 0
3 0 0 0 0 0 0
4 0 0 0 0 0 0
5 0 0 2 0 0 0
6 1 0 2 0 0 0
7 1 0 2 0 0 0
8 1 0 4 0 0 0
9 1 0 4 0 0 0
10 1 0 4 0 0 0
11 1 1 4 0 0 0
12 2 1 4 0 0 0
13 2 1 5 0 0 0
14 2 2 6 0 0 0
15 2 2 6 0 0 0
16 2 3 6 0 0 0
17 4 5 7 1 0 0
18 4 5 9 1 0 0
19 4 7 10 1 0 0
20 5 8 11 1 0 0
21 5 8 11 1 0 0
22 5 8 11 2 0 0
23 6 9 13 2 0 0
24 6 9 14 2 0 0
25 6 10 15 2 0 0
26 7 10 16 2 0 0
27 7 11 17 2 0 0
28 7 12 17 2 0 0
29 7 13 17 2 0 0
30 7 13 18 2 0 0
31 7 13 18 2 0 0
32 7 14 18 2 0 0
33 8 15 19 2 0 0
34 9 15 19 2 0 0
35 9 16 19 2 0 0
36 9 18 19 2 0 0
37 9 18 20 2 0 0
38 10 18 20 2 0 0
39 10 18 20 2 0 0
40 11 18 20 2 1 0
41 11 18 21 2 0 0
42 9 16 19 1 0 0
43 7 14 18 0 0 0
44 6 14 16 0 0 0
45 5 12 15 0 0 0
46 4 10 15 0 1 0
47 2 8 15 0 2 0
48 0 6 14 0 2 0
49 0 5 13 0 2 1
50 0 4 11 0 2 2
51 0 3 9 0 2 3
52 0 2 7 0 2 4
53 0 1 5 0 2 4
54 0 0 5 0 3 4
55 0 0 4 0 3 5
56 0 0 3 0 3 5
57 1 0 2 0 3 5
58 1 0 1 0 3 5
59 0 0 0 0 4 5
60 0 0 0 0 6 6
61 0 0 1 0 8 6
62 0 0 1 0 9 6
63 0 0 1 0 9 0
64 1 0 1 0 9 0
65 1 0 1 0 11 0
66 1 0 2 1 11 0
67 2 0 2 1 5 0
68 2 1 2 2 0 0
69 2 1 2 2 0 0
70 2 1 2 2 0 0
71 2 1 3 2 0 0
72 5 2 3 2 0 0
73 5 4 4 2 0 0
74 5 5 4 2 0 0
75 5 5 6 2 0 0
76 5 6 7 2 0 0
77 5 6 8 2 0 0
78 6 7 9 2 0 0
79 6 7 11 2 0 0
80 6 9 11 2 0 0
81 6 10 11 2 0 0
82 6 11 12 3 0 0
83 6 11 13 3 0 0
84 6 11 13 3 0 0
85 6 12 13 3 0 0
86 6 13 14 3 0 0
87 6 14 14 3 0 0
88 7 16 15 3 0 0
89 7 17 15 3 0 0
90 8 17 16 3 0 0
91 9 18 16 3 0 0
92 9 20 18 3 0 0
93 9 22 19 3 0 0
94 9 24 19 3 0 0
95 9 25 21 3 0 0
96 11 25 22 3 0 0
97 11 25 22 3 0 0
98 12 26 22 4 0 0
99 12 28 24 5 0 0
100 13 29 24 6 0 0
101 13 30 24 6 0 0
102 11 28 23 5 0 0
103 9 26 22 4 0 0
104 9 25 21 4 0 1
105 8 23 19 3 0 2
106 7 21 18 2 0 3
107 6 21 17 1 0 4
108 6 19 16 0 0 4
109 5 17 15 0 1 4
110 4 15 13 0 2 4
111 4 14 12 0 2 5
112 4 12 10 0 2 5
113 4 10 8 0 2 6
114 4 8 7 0 2 7
115 4 6 6 0 3 7
116 4 5 6 0 3 7
117 4 4 5 0 3 8
118 3 3 5 0 4 8
119 2 2 4 0 4 10
120 1 1 3 0 4 11
121 0 1 3 0 4 11
122 0 1 5 0 4 11
123 0 1 6 0 3 10
124 0 2 6 0 3 4
125 1 3 6 0 3 0
126 1 3 9 0 4 0
127 1 4 10 0 0 0
128 1 4 10 0 0 0
129 1 5 10 0 0 0
130 1 5 11 0 0 0
131 2 7 11 0 0 0
132 2 7 11 0 0 0
133 3 7 11 0 0 0
134 3 8 12 0 0 0
135 4 8 13 1 1 0
136 4 8 16 2 0 0
137 4 8 16 2 1 0
138 5 9 16 2 0 0
139 6 10 16 2 0 0
140 7 11 18 2 0 0
141 8 12 18 2 0 0
142 9 14 18 2 0 0
143 9 15 18 2 0 0
144 9 15 19 2 0 0
145 9 16 20 2 0 0
146 9 16 21 2 0 0
147 10 16 21 2 0 0
148 11 16 21 2 1 0
149 11 16 21 2 0 0
150 11 16 21 2 0 0
151 11 18 23 3 0 0
152 11 19 24 3 0 0
153 12 20 25 3 0 0
154 13 21 25 4 0 0
155 13 23 27 4 0 0
156 13 24 27 4 0 0
157 13 25 27 4 0 0
158 13 26 27 4 0 0
159 13 26 27 4 0 0
160 14 27 27 4 0 0
161 14 28 27 4 0 0
162 12 26 26 2 0 0
163 10 24 26 1 0 2
164 8 23 25 0 1 2
165 6 22 23 0 1 2
166 5 20 21 0 1 2
167 3 20 19 0 1 3
168 1 18 17 0 1 3
169 0 16 16 0 2 3
170 0 14 15 0 2 3
171 0 12 13 0 3 3
172 0 11 12 0 3 4
173 0 9 11 0 3 4
174 0 7 9 0 3 4
