time,crosswalk_L,crosswalk_R,crosswalk_U,crosswalk_B,cars_L,cars_R
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,2,0,0,0
4,0,0,2,0,0,0
5,0,0,2,0,0,0
6,0,0,4,0,0,0
7,1,0,7,1,0,0
8,2,0,7,2,0,0
9,4,1,8,3,0,0
10,5,2,10,3,2,0
11,8,3,11,5,0,0
12,8,5,12,5,0,0
13,8,5,13,6,0,1
14,9,5,13,6,0,0
15,9,6,15,6,0,1
16,9,6,16,7,0,1
17,9,7,17,7,0,0
18,9,9,18,8,0,0
19,12,10,18,8,0,0
20,12,11,19,8,0,0
21,14,11,20,8,2,1
22,15,12,21,8,1,1
23,16,13,22,8,0,1
24,16,13,22,9,1,0
25,18,13,24,9,0,0
26,19,14,25,9,0,0
27,21,14,25,10,0,0
28,22,15,27,11,0,0
29,22,15,27,12,1,1
30,23,16,28,13,2,0
31,23,16,29,14,0,0
32,24,16,29,14,0,0
33,25,16,29,14,0,0
34,26,17,29,14,0,0
35,27,18,30,14,0,0
36,27,18,30,14,0,0
37,28,18,30,15,0,0
38,28,19,31,16,0,0
39,29,19,32,16,0,0
40,31,19,34,17,2,1
41,32,20,35,17,1,0
42,30,18,34,16,1,0
43,29,19,33,14,3,1
44,27,18,33,13,3,2
45,26,16,32,12,3,3
46,24,15,33,10,3,6
47,23,14,33,8,4,7
48,21,13,32,8,4,8
49,21,11,31,7,5,8
50,19,9,30,5,7,12
51,17,9,29,3,7,14
52,15,7,27,1,9,15
53,14,6,28,1,11,18
54,13,6,26,0,12,23
55,12,5,26,0,12,23
56,11,4,25,0,12,25
57,11,4,26,0,14,25
58,10,3,27,0,15,25
59,11,2,27,0,18,26
60,10,1,25,1,20,27
61,8,2,23,0,22,28
62,8,3,25,0,26,28
63,9,3,26,0,26,25
64,9,3,27,1,28,19
65,9,5,27,1,28,13
66,11,6,29,1,31,7
67,11,7,31,1,25,1
68,11,7,31,2,19,0
69,11,7,32,3,13,0
70,13,8,33,4,7,0
71,13,8,35,4,1,0
72,13,8,37,4,1,0
73,13,8,38,5,0,0
74,13,10,40,6,0,1
75,13,11,41,6,0,0
76,14,13,42,7,0,2
77,14,14,44,8,0,1
78,15,14,45,9,1,0
79,16,15,46,9,0,0
80,17,15,48,10,0,1
81,18,15,49,10,0,0
82,19,15,49,12,0,0
83,20,17,51,13,0,0
84,20,18,52,15,1,0
85,20,18,53,17,0,0
86,21,18,54,18,0,0
87,21,18,57,18,0,1
88,22,20,58,19,2,0
89,22,22,59,19,0,0
90,25,23,60,19,0,0
91,25,24,62,19,1,0
92,27,24,64,19,1,0
93,27,26,66,20,1,0
94,28,27,68,21,1,0
95,28,28,71,22,0,0
96,29,29,71,23,0,0
97,30,30,74,23,0,0
98,31,30,75,24,1,0
99,31,31,76,25,0,0
100,31,31,77,27,0,0
101,34,32,77,27,0,0
102,33,32,76,25,1,0
103,32,31,74,24,1,1
104,31,30,73,22,3,1
105,30,28,71,22,6,3
106,29,27,70,20,7,3
107,28,27,68,18,9,5
108,27,25,67,18,9,6
109,26,24,65,18,13,8
110,27,23,65,16,15,11
111,26,22,66,16,15,11
112,25,20,66,14,15,13
113,24,18,64,12,20,18
114,23,17,62,10,21,18
115,22,16,62,8,21,20
116,22,15,61,6,21,23
117,22,16,59,4,22,24
118,24,15,57,3,23,25
119,25,14,56,2,23,28
120,25,12,54,2,23,28
121,25,10,53,1,23,28
122,25,11,54,1,23,28
123,25,12,54,1,22,28
124,25,13,54,1,23,28
125,25,13,56,1,24,28
126,25,13,58,1,25,28
127,26,14,58,3,19,28
128,27,15,59,3,13,25
129,28,15,60,3,7,19
130,30,15,61,4,1,13
131,31,16,63,4,0,7
132,31,16,64,6,0,1
133,31,16,65,6,0,0
134,31,16,65,9,0,0
135,31,16,65,9,1,1
136,31,17,66,9,0,0
137,32,17,66,10,0,0
138,33,17,68,10,0,0
139,34,18,69,10,0,0
140,34,20,71,10,1,0
141,35,20,74,10,0,0
142,35,21,75,11,1,1
143,35,21,75,13,0,1
144,35,21,77,15,1,1
145,36,23,77,15,0,0
146,36,25,79,16,0,0
147,37,26,81,17,0,1
148,39,26,81,18,0,2
149,39,28,81,18,0,0
150,39,28,81,18,1,0
151,39,28,83,21,0,0
152,40,29,83,21,0,0
153,40,29,84,21,0,0
154,41,30,86,21,0,0
155,41,31,87,21,1,0
156,42,33,87,21,2,0
157,43,34,90,21,0,0
158,43,35,92,21,0,0
159,44,36,92,21,1,0
160,44,37,92,21,1,0
161,45,38,92,21,0,0
162,45,36,90,20,0,0
163,44,35,88,20,2,1
164,42,33,87,19,3,2
165,42,31,85,19,4,3
166,41,30,84,17,4,3
167,40,30,83,17,4,3
168,38,28,82,15,5,5
169,37,27,80,13,5,6
170,36,27,80,12,7,7
171,35,25,79,10,8,9
172,33,24,78,9,8,11
173,32,22,78,9,9,13
